rgiid,Name,surge_reduced,Slope,thick_w0,thick_w1,thick_w2,thick_w3,thick_w4,thick_w5,thick_w6,thick_w7,thick_w8,thick_w9,thick_w10,thick_w11,windowlength_w0,windowlength_w1,windowlength_w2,windowlength_w3,windowlength_w4,windowlength_w5,windowlength_w6,windowlength_w7,windowlength_w8,windowlength_w9,windowlength_w10,windowlength_w11,bedslope_w0,bedslope_w1,bedslope_w2,bedslope_w3,bedslope_w4,bedslope_w5,bedslope_w6,bedslope_w7,bedslope_w8,bedslope_w9,bedslope_w10,bedslope_w11,surfslope_w0,surfslope_w1,surfslope_w2,surfslope_w3,surfslope_w4,surfslope_w5,surfslope_w6,surfslope_w7,surfslope_w8,surfslope_w9,surfslope_w10,surfslope_w11
RGI60-07.00030,Austfonna,0,8.7,520.7130400000009,494.91255999999896,430.86149999999924,369.86435000000074,331.950819999999,284.30033000000094,262.51359999999937,233.33564000000027,202.5910499999994,181.16733499999967,115.36475000000019,,588.316688212546,1970.8521376860426,2556.957214411489,2393.8561418170793,2787.3186070551524,3050.879463545216,2000.0458323080154,2157.353398898756,2047.6086518417017,2157.4035722085678,1493.6772488991528,,-0.009408906392686349,-0.00010752404765997483,-0.018031706612670288,0.01189568421132115,0.0016222386712559677,0.02102434338679764,0.01873362332625961,-0.0008900704418218597,0.013822886098507,0.001464780989798789,0.024611033714202993,,0.013059553352688867,0.01510997851508568,0.018236097245665495,0.019240970376600778,0.02283066634196297,0.02623240223478662,0.028275309150449058,0.01903762152027719,0.014561782734154819,0.02371022878868523,0.05972647293357955,
RGI60-07.00031,Austfonna,0,9.0,461.9404500000004,426.538175000001,446.1012150000008,430.89880000000096,397.2436149999995,362.62939,342.99132500000053,309.79028500000044,253.23699499999952,195.5065250000004,,,2434.4462744241114,2201.242194299406,2401.3877098261087,2401.4215878211307,2401.455451121496,2507.54817683591,2475.435353149235,2409.884309430898,2201.4600880571506,2401.625378441188,,,0.010148097393819949,0.024189910443089734,0.01619472591530416,0.004025532555822152,-0.004028373570759137,0.015743337070674344,0.013558943654504036,0.008133481218317947,0.00479169226029289,0.021992621426791845,,,0.014551358095400852,0.019787220419805834,0.015132381945382634,0.01618528203113928,0.014845805520580737,0.02105596863329644,0.0194512558928825,0.023542618030662293,0.031293460003332114,0.04339475085161363,,
RGI60-07.00032,Lindhagenbreen,0,15.6,181.26899000000014,80.9905900000001,81.40597999999981,113.52390999999993,129.72132500000026,137.2993000000001,123.42261500000001,95.582915,81.30633500000002,72.79536999999989,41.19387199999995,,422.6581030520931,746.7955026825798,653.4451017688132,563.9713368399679,528.0626242542131,462.05474014762643,746.7937360252781,660.079509871583,622.7184325371511,532.1740836243287,186.69912513648197,,-0.2519319152137501,0.10943882992781334,0.14367036457428725,0.09554466520097095,0.06575289123662677,0.06283077472085365,0.015697436218536844,0.0316621604034107,0.05677026890808543,0.07667029206399675,-0.07748420616629416,,-0.004876361410298276,0.1597457424092408,0.09027268088667915,0.04464665975860207,0.060767608981832394,0.042417802464056936,0.05741097047762322,0.061135497680171264,0.0623266044770095,0.09069704489240384,0.1941917148717743,
RGI60-07.00033,,0,15.1,196.78485999999984,145.20922000000022,126.0554749999998,162.62542500000015,200.52332000000015,158.65657500000043,116.43959800000019,102.73395999999975,94.50128500000011,65.1865289999999,,,894.4057309343292,970.1180744820982,873.1044398194153,873.1024593955964,782.1290920548333,1168.1665862918487,873.0965439035881,776.0841454493042,920.3205569741443,878.4636456316857,,,-0.05488134405371057,0.01680696920518199,0.046175440389479724,0.12319214932410417,-0.007488956177817782,0.006748506946227759,-0.004065759353629888,0.12953305557284844,0.04613194416359827,0.13474848278896992,,,0.029691673841870915,0.03168001412312518,0.06279248853518021,0.03452566918002674,0.019892301243128005,0.03904806277339468,0.04173606853977584,0.09624294504025782,0.07623982487008683,0.16502999225648693,,
RGI60-07.00034,,0,18.6,210.1182700000001,189.6998899999999,194.36975999999993,177.45907000000034,120.96376250000006,99.51246250000004,133.74073999999982,168.46928499999967,127.3029900000001,111.44337500000012,,,1129.8723439665514,1170.6743815708576,1299.857176632384,1743.9379211161865,1550.1626398868518,1233.1431580405879,1562.216712176538,1104.6507026996662,1263.2124381868787,1233.1275423272054,,,-0.01563580192471077,0.026358193635555825,0.017351334186479512,-0.007055644391829377,-0.001135925481188581,0.046340548152880155,0.0684766783068315,-0.01090377492241701,0.0405014511352505,0.02919353295833536,,,0.02321839715588655,0.023919476556822843,0.014087154307411623,0.012726749824432552,0.03432788684369074,0.03579197009950163,0.030717889701917248,0.012165118820493401,0.0618874522163828,0.045186044710126466,,
RGI60-07.00035,Rijpbreen,1,7.4,361.0243650000004,366.72706499999936,363.91319999999973,379.7006650000001,390.27158999999995,315.6016300000002,302.3861099999997,234.85449000000023,145.7359500000002,87.82091000000015,,,1523.4308074248545,1612.7449696123247,1600.2906976735653,1709.1117453890429,1600.2916897259838,1789.1815814834854,1789.1858420210797,1709.1209244181327,2546.070318260318,1980.2862491725748,,,0.032233663374254415,0.006458339899349454,0.014983699779938695,0.024882346869902858,0.02365668238580405,-0.06110806290666529,-0.011021751333839092,-0.008481230452586563,0.021944256424504312,0.07771985639770124,,,0.01757699260365537,0.011899769927837464,0.011223152080975693,0.013535807176189718,0.02045012002479667,0.02161787493460693,0.02158399705258279,0.026083419114542223,0.05878554920351498,0.08000659340895513,,
RGI60-07.00036,Sabinebreen,0,14.2,234.90141,187.36196500000003,118.97462500000006,136.64905999999988,153.018,126.34102999999976,175.26659499999963,201.30887500000023,153.714645,140.01755500000021,103.4617600000001,,125.01540498118088,875.1092379454052,875.111482731372,1414.3978138371426,884.001191992846,1250.1700588459396,952.1038829550376,1007.9247903265742,1179.4168605802734,1007.9280156348149,760.4566573493726,,0.01911179710813625,-0.07819554753182086,0.01089319830906213,0.08818283820022185,0.010884125645509113,0.0650134609438587,0.1637441538447907,-0.019085807819056264,0.031069627112698187,0.03443877754446323,0.04136405987014623,,0.014846679212621818,0.031364023364695584,0.04807155003770005,0.04273184291036268,0.04747816567000485,0.07769413979327243,0.05170191245961911,0.05490034463941827,0.04148810101616017,0.04810646845355294,0.084646257173951,
RGI60-07.00037,Croftbreen,0,8.9,333.07477500000067,318.6721350000004,299.11651999999987,257.55481,209.1424299999999,213.00952499999985,206.68685499999995,174.86545499999977,120.6496150000001,98.71810000000004,80.02885499999988,,158.03100216613333,1150.4858768295812,999.4819854080174,1340.9502088125007,1340.954454132298,1564.4521575255649,1340.963519632118,1340.9677354415226,1564.4676155062223,1234.2977965971563,893.9869958093494,,-0.03339419067603093,-0.012735808439739309,-0.02074678149344922,0.007089555345930589,-0.013286813286489308,0.06572733406147827,0.016038695547894243,0.0016263986219513776,0.04188063392591081,0.06112191495986016,0.11200780806610915,,-0.0036627459396722318,0.0005365645534561799,0.019725100605759553,0.022940823666719026,0.032999622114080515,0.014634500191173707,0.03147862807229051,0.020824574574592965,0.06739375884072099,0.07329760413426963,0.1297190050071683,
RGI60-07.00038,,0,11.7,,251.34072000000012,225.22741999999957,209.91981500000006,182.99670999999975,129.59026500000022,122.11115500000005,128.6518250000003,132.64345999999983,121.47227500000007,53.41192349999991,,,1086.7570167624808,1341.773952779651,1080.1043050454505,1200.1127413850927,1138.5239546790692,1341.7599485259962,1235.5822384024648,1341.753186829573,1106.4351788500612,1080.0850135769108,,,0.05896333328913979,-0.0009601688879238705,0.026967494536245824,-0.029641513408874744,0.02874379956300966,0.04560997580658645,0.017842972617023233,0.016777599453361818,0.025405239722341245,0.050967417456517915,,,0.011355868237657843,0.02894557567396902,0.017087269694078047,0.02384152462314186,0.051853796978990715,0.03872586105309092,0.014330068344196253,0.010214474215391465,0.045950704887697126,0.14104310658201247,
RGI60-07.00039,,0,11.3,314.69989999999973,310.5886499999999,267.4379200000002,241.14629500000035,226.71390000000017,206.95427500000002,186.50724500000007,153.25575500000008,122.4847650000001,89.54887500000007,66.77351349999992,,114.00958632777956,644.9352956729667,806.1680827336975,644.9336375313426,806.1660121840449,664.7807388304913,456.0356372001586,570.0444984374197,456.035560317846,581.3334431666035,342.0265410228927,,0.043447406350750346,-0.009545566900080894,-0.016056946038921133,0.019875520638363266,0.04341598567833183,0.018726512143535406,0.01892244643747773,0.004934925555812671,0.013142363085507239,0.047233531982591184,0.09418173378914307,,0.01980223708131689,0.017796604081414397,0.024835456751934274,0.036832428629614195,0.057571658214301207,0.058763903674886916,0.054792415777359944,0.06713696145113347,0.05158285014370638,0.09042204580477088,0.13533570135010914,
