,X,Y,ELA,beta,cmb
77663,523490,8563290,522.8907470703125,0.005998960294825105,-0.8962717056274414
77664,523490,8564290,522.8907470703125,0.005793054727829124,-0.8434104919433594
77665,523490,8565290,522.8907470703125,0.005758016271345122,-0.8027896881103516
77666,523490,8566290,522.8907470703125,0.005636644536575594,0.1426849365234375
77667,523490,8567290,522.8907470703125,0.005573574194052962,0.170684814453125
77668,523490,8568290,522.8907470703125,0.00554356127735565,-0.21671772003173828
77669,523490,8569290,522.8907470703125,0.005309208934638502,-0.18504047393798828
77670,523490,8570290,532.3760375976562,0.005318817148337428,-0.09949302673339844
77671,523490,8571290,538.9735107421875,0.005415235531958112,-0.19742488861083984
77672,523490,8572290,538.9735107421875,0.005385658557052463,-0.20424747467041016
77673,523490,8573290,538.9735107421875,0.0052486742187476095,0.33724212646484375
77674,523490,8574290,538.9735107421875,0.005021629040747005,0.16489791870117188
77675,523490,8575290,538.9735107421875,0.004897621204443833,-0.1263446807861328
77676,523490,8576290,538.9735107421875,0.004814098483722128,-0.173583984375
77677,523490,8577290,548.7290649414062,0.0046650693251536,-0.21581077575683594
77678,523490,8578290,548.7290649414062,0.0046939521519405135,0.08092308044433594
77679,523490,8579290,548.7290649414062,0.004864970850684716,0.30224609375
77680,523490,8580290,532.8051147460938,0.005096197155167753,1.0760498046875
77681,523490,8581290,532.8051147460938,0.0054121532348051764,0.2950096130371094
77682,523490,8582290,524.72998046875,0.0056311980274043804,0.028408050537109375
77683,523490,8583290,524.72998046875,0.006046968330886845,-0.6326026916503906
77684,523490,8584290,524.72998046875,0.006438530538689989,-1.0182991027832031
77685,523490,8585290,524.72998046875,0.006560780672122431,-1.2199325561523438
77686,523490,8586290,524.72998046875,0.006545877972504024,-1.2538299560546875
77687,523490,8587290,524.72998046875,0.006397880326127592,-1.3712844848632812
77689,523490,8589290,469.83013916015625,0.006422158204678445,-0.13951873779296875
77690,523490,8590290,469.83013916015625,0.006378410726293265,-0.9101738929748535
77691,523490,8591290,469.83013916015625,0.006322093409850968,0.14516448974609375
77692,523490,8592290,469.83013916015625,0.006127999624541426,-0.1990184783935547
77693,523490,8593290,469.83013916015625,0.005835634044599875,0.712738037109375
